date,gw_mean,gw_min,gw_max,month,gw_anom
2004-01-31,10.516129032258064,10.48,10.56,1,-3.5914662756598243
2004-02-29,10.53551724137931,10.5,10.57,2,-3.6232344379758175
2004-03-31,10.58,10.58,10.58,3,-3.6307624633431086
2004-04-30,10.596333333333332,10.58,10.6,4,-3.6065454545454543
2004-05-31,10.62225806451613,10.6,10.66,5,-3.5428739002932534
2004-06-30,10.728666666666667,10.67,10.81,6,-3.450757575757576
2004-07-31,10.860645161290323,10.82,10.92,7,-3.3893255131964803
2004-08-31,10.975161290322582,10.92,11.03,8,-3.3598826979472136
2004-09-30,11.086,11.03,11.15,9,-3.29021212121212
2004-10-31,11.249354838709678,11.16,11.32,10,-3.179442815249267
2004-11-30,11.277,11.22,11.31,11,-3.13890909090909
2004-12-31,11.301935483870968,11.22,11.37,12,-3.094369501466277
2005-01-31,11.449354838709677,11.38,11.51,1,-2.658240469208211
2005-02-28,11.582142857142857,11.52,11.69,2,-2.57660882221227
2005-03-31,11.713225806451613,11.69,11.73,3,-2.497536656891496
2005-04-30,11.734,11.71,11.75,4,-2.4688787878787863
2005-05-31,11.73258064516129,11.69,11.81,5,-2.432551319648093
2005-06-30,11.890333333333333,11.8,11.99,6,-2.289090909090911
2005-07-31,12.083548387096773,12.0,12.17,7,-2.1664222873900307
2005-08-31,12.209999999999999,12.17,12.26,8,-2.1250439882697965
2005-09-30,12.332666666666666,12.27,12.4,9,-2.0435454545454537
2005-10-31,12.408709677419356,12.4,12.41,10,-2.020087976539589
2005-11-30,12.379999999999999,12.33,12.41,11,-2.0359090909090902
2005-12-31,12.290322580645162,12.27,12.33,12,-2.1059824046920834
2006-01-31,12.398709677419355,12.31,12.43,1,-1.7088856304985338
2006-02-28,12.502857142857142,12.43,12.57,2,-1.6558945364979856
2006-03-31,12.619032258064516,12.57,12.69,3,-1.5917302052785924
2006-04-30,12.751,12.7,12.79,4,-1.4518787878787869
2006-05-31,12.781935483870969,12.76,12.81,5,-1.3831964809384143
2006-06-30,12.895000000000001,12.82,12.99,6,-1.284424242424242
2006-07-31,13.077096774193548,13.0,13.15,7,-1.172873900293256
2006-08-31,13.208064516129031,13.15,13.27,8,-1.1269794721407642
2006-09-30,13.375,13.28,13.45,9,-1.00121212121212
2006-10-31,13.549354838709677,13.46,13.61,10,-0.8794428152492682
2006-11-30,13.618333333333334,13.57,13.64,11,-0.7975757575757552
2006-12-31,13.61774193548387,13.57,13.68,12,-0.7785630498533749
2007-01-31,13.700967741935484,13.68,13.75,1,-0.40662756598240435
2007-02-28,13.797142857142857,13.75,13.86,2,-0.3616088222122702
2007-03-31,13.911935483870968,13.86,13.97,3,-0.29882697947214076
2007-04-30,14.023666666666665,13.98,14.08,4,-0.17921212121212093
2007-05-31,14.162580645161292,14.08,14.25,5,-0.0025513196480915212
2007-06-30,14.316666666666666,14.25,14.39,6,0.13724242424242306
2007-07-31,14.452580645161289,14.39,14.51,7,0.2026099706744855
2007-08-31,14.557419354838709,14.52,14.6,8,0.22237536656891344
2007-09-30,14.652999999999999,14.61,14.7,9,0.2767878787878786
2007-10-31,14.750967741935485,14.7,14.81,10,0.3221700879765397
2007-11-30,14.821,14.81,14.83,11,0.4050909090909105
2007-12-31,14.84290322580645,14.82,14.86,12,0.44659824046920527
2008-01-31,14.928064516129032,14.87,14.97,1,0.8204692082111436
2008-02-29,15.086206896551724,15.03,15.09,2,0.9274552171965968
2008-03-31,15.09,15.09,15.09,3,0.8792375366568912
2008-04-30,15.085666666666667,15.06,15.09,4,0.8827878787878802
2008-05-31,15.044193548387097,15.03,15.06,5,0.8790615835777142
2008-06-30,15.106666666666666,15.05,15.18,6,0.9272424242424222
2008-07-31,15.251290322580646,15.19,15.33,7,1.0013196480938422
2008-08-31,15.355806451612903,15.33,15.4,8,1.0207624633431074
2008-09-30,15.444666666666667,15.4,15.49,9,1.0684545454545464
2008-10-31,15.464516129032257,15.41,15.5,10,1.0357184750733115
2008-11-30,15.45,15.41,15.49,11,1.03409090909091
2008-12-31,15.553225806451612,15.49,15.59,12,1.1569208211143671
2009-01-31,15.633870967741935,15.6,15.67,1,1.5262756598240461
2009-02-28,15.667857142857143,15.64,15.7,2,1.5091054635020154
2009-03-31,15.681612903225806,15.65,15.72,3,1.4708504398826978
2009-04-30,15.783333333333333,15.72,15.82,4,1.5804545454545469
2009-05-31,15.860322580645162,15.82,15.89,5,1.695190615835779
2009-06-30,15.925,15.89,15.94,6,1.7455757575757573
2009-07-31,15.986451612903226,15.94,16.06,7,1.7364809384164221
2009-08-31,16.106129032258064,16.07,16.16,8,1.7710850439882684
2009-09-30,16.181666666666665,16.09,16.26,9,1.8054545454545448
2009-10-31,16.279032258064518,16.26,16.29,10,1.850234604105573
2009-11-30,16.261666666666667,16.19,16.38,11,1.8457575757575775
