lag_months,pearson_r,p_value
0,0.08116020016180306,0.20367156266525363
1,0.07368761672721573,0.2495575680695284
2,0.07458899143460182,0.24476755447121926
3,0.07809802925006043,0.22416660885374617
4,0.0730366429145584,0.25672180030835834
5,0.07529005661137497,0.2432785927510893
6,0.07673042843282793,0.2353326260797066
7,0.07511694346010833,0.24634626317015937
8,0.06337388893451779,0.3292721139334804
9,0.05413347620427992,0.4057795794098427
10,0.05563800976025399,0.39384323212411104
11,0.046861134633487754,0.4737037745079436
12,0.0502033468513159,0.44368688691629177
